CRPFilerid,is_scam
C00720680,0
C00668665,0
C00592808,0
C00141218,0
C00161786,1
C00731661,0
C00525824,0
C00085316,0
C00357905,0
C00471540,0
C00666321,0
C00207944,0
C00142158,0
C00679118,0
C00687442,0
C00635367,0
C00473249,0
C00175521,0
C00695171,0
C00628008,0
C00725341,0
C00743146,0
C00167346,0
C00557926,0
C00719872,0
C00418830,0
C00679209,0
C00005801,0
C00759886,0
C00711929,0
C00695874,0
C00438721,0
C00736041,0
C00371229,0
C00755363,0
C00609206,0
C00652537,0
C00485540,0
C00553743,0
C00343707,0
C00590315,0
C00224717,0
C00322768,0
C00622415,0
C00710640,0
C00632133,1
C00693606,0
C00569558,0
C00705384,0
C00572438,0
C00731547,0
C00734848,0
C00617472,0
C00532887,0
C00675934,0
C00007948,0
C00603134,0
C00710558,0
C00034488,0
C00670216,0
C00473116,0
C00708644,0
C00659011,1
C00274944,0
C00511444,0
C00153379,0
C00581785,0
C00734616,0
C00522409,0
C00659607,0
C00055582,1
C00756858,0
C00240457,0
C00704890,0
C00214338,0
C00760579,0
C00680082,0
C00620740,0
C00214072,0
C00255877,0
C00431304,0
C00587543,0
C00177436,0
C00708552,0
C00578336,0
C00613018,0
C00757229,0
C00135541,0
C00096842,0
C00693424,0
C00140590,1
C00034470,0
C00429563,0
C00575449,0
C00741322,0
C00758854,0
C00559633,0
C00620948,0
C00034132,0
C00761940,0
C00099473,0
C00481242,0
C00301663,0
C00346288,0
C00388421,0
C00494757,0
C00429712,0
C00691378,0
C00493890,0
C00299321,0
C00516112,0
C00634436,0
C00406215,0
C00695619,0
C00455394,0
C00716811,0
C00562355,0
C00359539,0
C00083790,0
C00463646,0
C00461095,0
C00432096,0
C00300731,0
C00002238,0
C00706150,0
C00740787,0
C00678870,0
C00647206,0
C00614552,0
C00638130,0
C00126086,0
C00689208,0
C00569152,0
C00173096,0
C00751834,0
C00670265,0
C00094185,0
C00573436,0
C00035618,0
C00489948,0
C00686055,0
C00280743,0
C00306894,0
C00683607,0
C00740845,0
C00137265,0
C00750521,1
C00200139,0
C00646877,1
C00763920,0
C00194472,0
C00544817,0
C00685933,0
C00361949,0
C00746313,0
C00685123,0
C00758656,0
C00489906,0
C00689513,0
C00490896,0
C00450965,0
C00356253,0
C00263723,0
C00735829,0
C00755967,0
C00540054,0
C00559146,0
